"s2n","Baseline_alpha","Baseline_beta","Larger threshold_alpha","Larger threshold_beta","Larger interpret_alpha","Larger interpret_beta","Larger slope_alpha","Larger slope_beta","Correlated_alpha","Correlated_beta"
0.001,0.511367842700991,-0.0207788336188596,0,0,0.50545606425864,-0.0221094121932501,0.531393638628473,-0.0608070495207002,-4.27024865258859,9.5482309534789
0.051,0.572282205472685,-0.142159773964124,0.000226789790515269,-0.000201701007584654,0.532397834752548,-0.154024261345072,0.690916649345251,-0.379676516133601,-3.98669367319581,8.9706323321859
0.101,0.597418624466464,-0.195643945144658,0.00786653605248311,-0.00615574818767173,0.54250180480077,-0.212300150403556,0.741624544257545,-0.483811700690323,-3.75717029979852,8.50638309089844
0.151,0.617849134881713,-0.236630734782435,0.0294475685426041,-0.0233140615792107,0.551278773660571,-0.255641103403998,0.774168015830185,-0.549422673718076,-3.54174719654066,8.08191357628785
0.201,0.634045558961717,-0.268227931046186,0.0583025793846579,-0.0471376209491066,0.558063974287942,-0.287773925732251,0.79616292077494,-0.592246047397726,-3.36024441623606,7.70586522646279
0.251,0.647233442405501,-0.293817238614658,0.090954121714665,-0.0741458302088976,0.56398425396062,-0.314952866451132,0.812722540676045,-0.625742614107607,-3.17637573315419,7.35980911117133
0.301,0.659905433290918,-0.319215286495056,0.120613872449408,-0.0986155597095912,0.568941204783637,-0.338542138526472,0.826207872071348,-0.652127695244266,-3.01428066746373,7.03984868088602
0.351,0.668752383367241,-0.340138567009677,0.150067707149282,-0.123977578297067,0.571521486585218,-0.359060402724341,0.835469244281201,-0.67353613526559,-2.8731637901727,6.74377197825182
0.401,0.680683043331286,-0.361282010257321,0.178999054591173,-0.149109497201242,0.576820295972482,-0.379146508817008,0.846393422947672,-0.692636024131482,-2.72332492865699,6.46190731370264
0.451,0.688369748504288,-0.377953827565061,0.205077816400695,-0.1722001730477,0.579093314880211,-0.394098529830064,0.853882611738826,-0.709104133891041,-2.61295873052114,6.22004742136246
0.501,0.695293266909845,-0.391852028359507,0.226786599266528,-0.191191149390554,0.581719271800647,-0.408020849934825,0.859206224309806,-0.719512813806329,-2.49269159117475,5.98048773506256
0.551,0.704639680950754,-0.406983764087729,0.249204147808877,-0.210843853497583,0.586983790889682,-0.422289569167146,0.866407532727977,-0.731061748741338,-2.37479196435576,5.7669186457503
0.601,0.709762047590482,-0.419796054391842,0.270072342132236,-0.229972999114379,0.587482329587039,-0.433426028363615,0.870514833071701,-0.741314036968207,-2.27322131479944,5.55534955909395
0.651,0.716409884273003,-0.431549418179532,0.289800044379792,-0.247823388438096,0.590357233703695,-0.443787026079073,0.874961782943103,-0.74910129119922,-2.1861376918645,5.36623703093056
0.701,0.721254892230857,-0.443239667173483,0.308848971360217,-0.265428812753032,0.591188139172129,-0.45264879779207,0.878876170655567,-0.758259715870247,-2.09552393811171,5.18737928005511
0.751,0.727659855346113,-0.454258101914443,0.325067172825203,-0.280321103943604,0.594250134079164,-0.464147739593018,0.883201113208151,-0.765653736531561,-2.00746280545238,5.01989035077485
0.801,0.732455033702195,-0.46550725232448,0.343238948708585,-0.297762284642186,0.594961094471953,-0.471428896567827,0.886290605135392,-0.772949613176949,-1.9303870253777,4.85334140616561
0.851,0.736949340968712,-0.474260092521109,0.355965202572156,-0.308748277347949,0.596501649172406,-0.478268171961778,0.889105828184078,-0.779068678761736,-1.84265955753539,4.69225095567066
0.901,0.741415496765666,-0.483121610573164,0.371498776367545,-0.324489597549741,0.597919380050969,-0.48645228620502,0.892221708248478,-0.784404049051837,-1.77750249836849,4.55444901150021
0.951,0.746960101899824,-0.492321683492979,0.385429469808033,-0.336679324024104,0.600597404811327,-0.493281465419786,0.895356387240104,-0.789865089586424,-1.70228777143523,4.41076021007828
1.001,0.750147008820529,-0.500937961363377,0.397100832223537,-0.34807769845721,0.601059239114073,-0.499922292796083,0.897575639914578,-0.795247929832098,-1.63959549144567,4.28729530152197
1.051,0.754800023217041,-0.509020425441808,0.409439898685083,-0.359783192855223,0.602756617148075,-0.506204008797606,0.900666729345493,-0.800972070109385,-1.5684910628861,4.14368230924922
1.101,0.757400684493347,-0.514515872097394,0.421136145686067,-0.371108691824851,0.603347907620413,-0.509720282130915,0.901881540347432,-0.803357944091149,-1.51534947528156,4.03881103470187
1.151,0.761372478811313,-0.520894322010596,0.429846957672611,-0.379472478200957,0.605295772529903,-0.516896970520052,0.903991339847089,-0.807327103171317,-1.46648070890279,3.94402297965086
