"","$x=0|d=1$","$x=1|d=0$","$z=0|d=1$","$z=1|d=0$","prod|d=0","prod|d=1","$x=z=0|d=1$","$x=z=1|d=0$"
"1960-2017 zero threshold",0,0.125,0,0.0178571428571429,0,0.00223214285714286,0,0.0178571428571429
"1960-2017 higher threshold",0.27027027027027,0.4,0.216216216216216,0.2,0.058436815193572,0.08,0.108108108108108,0.2
