"date","CPI","Proxy","realProxy"
1798-01-01,NA,NA,179.295240916664
1799-01-01,0,2.33733423603026,183.485969966182
1800-01-01,2.09731543624161,4.98240056013644,192.627975961549
1801-01-01,1.31470829909615,10.2815465026291,212.433110887109
1802-01-01,-15.7339821573398,-19.1306283201925,171.793322014274
1803-01-01,5.48604427333976,1.60975546949909,174.558774411633
1804-01-01,4.37956204379562,7.57246995556895,187.777185158763
1805-01-01,-0.699300699300698,11.6207324456849,209.598269440101
1806-01-01,4.22535211267605,-6.45142559309332,196.076193042762
1807-01-01,-5.40540540540541,-3.49023488787161,189.232673346373
1808-01-01,8.66071428571429,-13.2398934490532,164.178469024518
1809-01-01,-2.05423171733772,13.0230094169757,185.559446506228
1810-01-01,0,1.41099727303768,188.177685236294
1811-01-01,6.79530201342282,-3.02278259355098,182.489482922025
1812-01-01,1.25687352710133,3.13970337518237,188.21911137668
1813-01-01,20.0155159038014,26.8445692775092,238.745721123705
1814-01-01,9.89010989010988,13.6547042065907,271.345743149039
1815-01-01,-12.2941176470588,-7.48222769536535,251.043036804947
1816-01-01,-8.65191146881288,-13.1615757906807,218.001817248637
1817-01-01,-5.35976505139499,1.37117609078745,220.991006044233
1818-01-01,-4.34445306439101,-3.54152011107873,213.164565121501
1819-01-01,0,-15.4787715882389,180.169308979281
1820-01-01,-7.86699107866992,-17.0383628431676,149.471408383363
1821-01-01,-3.52112676056336,-4.6756662642871,142.482624166828
1822-01-01,3.64963503649633,4.17144231756685,148.426204646502
1823-01-01,-10.6514084507042,-2.25369924010049,145.081124400274
1824-01-01,-7.88177339901478,-7.31678272908941,134.465853746986
1825-01-01,2.56684491978609,1.39588392962993,136.34284099028
1826-01-01,0,-1.94691581679137,133.688360653978
1827-01-01,0.834202294056308,0.892141795438284,134.881050395008
1828-01-01,-4.96380558428129,0.0103758279409671,134.895045420722
1829-01-01,-1.84983677910773,-0.916219936655205,133.659110121017
1830-01-01,-0.886917960088696,-5.46783852154215,126.35084581027
1831-01-01,-6.26398210290826,1.98381349025376,128.857410934504
1832-01-01,-0.954653937947492,0.471109080291576,129.464469898045
1833-01-01,-1.9277108433735,-1.6683754207572,127.304516503652
1834-01-01,1.96560196560196,-5.72780017726969,120.012768181684
1835-01-01,2.89156626506022,12.1989586960136,134.65307620211
1836-01-01,5.62060889929743,15.7890885109832,155.913569586423
1837-01-01,2.77161862527717,0.982620091877195,157.445607647142
1838-01-01,-2.69687162891047,-3.99809951130513,151.15077557723
1839-01-01,0,-0.789072855548134,149.9580858362
1840-01-01,-7.09534368070952,-16.4283608314688,125.322430399065
1841-01-01,0.954653937947492,-8.41601228017845,114.775279266862
1842-01-01,-6.61938534278961,-10.4609341025473,102.76871293674
1843-01-01,-9.24050632911393,-6.39791776794207,96.1936551918754
1844-01-01,1.11576011157601,-1.93142731022493,94.3357446647959
1845-01-01,1.10344827586206,11.4130641036863,105.102343676079
1846-01-01,1.09140518417463,-1.15791898797974,103.885343681842
1847-01-01,7.69230769230769,9.67140945007452,113.93252062793
1848-01-01,-4.13533834586466,-7.08164861126767,105.8642198631
1849-01-01,-3.13725490196078,0.487642350567463,106.38045863325
1850-01-01,2.15924426450742,-2.09020964655108,104.156884024853
1851-01-01,-2.11360634081903,-0.910157934325939,103.208891880754
1852-01-01,1.07962213225372,9.46401479536605,112.976596678482
1853-01-01,0,4.41194195125747,117.961058542443
1854-01-01,8.67823765020028,16.1289557195853,136.986945441107
1855-01-01,2.94840294840295,3.92262886934309,142.360434910211
1856-01-01,-1.90930787589499,-5.99579788591375,133.824790963487
1857-01-01,2.91970802919708,5.38428188649414,141.030294942973
1858-01-01,-5.67375886524824,-17.8888535049747,115.801592082991
1859-01-01,1.00250626566416,1.27714960823244,117.280551662606
1860-01-01,0,-1.79011282359316,115.181097467713
1861-01-01,5.95533498759304,-7.24189682442574,106.83980122786
1862-01-01,14.1686182669789,19.0890435900308,127.234497455748
1863-01-01,24.8205128205128,22.2488125565396,155.542662301932
1864-01-01,25.1437962202137,48.3808981930484,230.795599396987
1865-01-01,3.67695338148391,-2.45141242340108,225.137847400707
1866-01-01,-2.5332488917036,-6.65759217230377,210.149087695264
1867-01-01,-6.82261208576999,-5.56463207247061,198.455064161369
1868-01-01,-3.90516039051604,-0.058157635632583,198.33964738826
1869-01-01,-4.13642960812771,-6.35891247665935,185.727402804325
1870-01-01,-4.23921271763815,-10.4023322872678,166.407421216107
1871-01-01,-6.40316205533598,-4.2820022749013,159.281851654029
1872-01-01,0,-3.90797002059857,153.057164643135
1873-01-01,-2.02702702702703,0.00962298328210931,153.071893308501
1874-01-01,-4.82758620689656,-1.34997293240042,151.005464181723
1875-01-01,-3.62318840579708,-5.34828807449327,142.929256949059
1876-01-01,-2.34962406015038,-4.91093916980391,135.910088084438
1877-01-01,-2.30991337824832,-1.96498651717634,133.239473178096
1878-01-01,-4.72906403940887,-16.6417084867955,111.066148462455
1879-01-01,0,-4.0242371362315,106.596583270247
1880-01-01,2.48190279214064,8.4996840451101,115.656956051101
1881-01-01,0,5.73264721265139,122.287161318402
1882-01-01,0,5.59936224470685,129.134462459388
1883-01-01,-2.01816347124116,-7.71456770600369,119.172296921175
1884-01-01,-2.05973223480949,-9.30900159056867,108.078545905265
1885-01-01,-1.99789695057834,-8.37156873150884,99.0306761507907
1886-01-01,-2.14592274678113,-6.29891126924845,92.7928217307156
1887-01-01,1.09649122807018,6.83794989208641,99.137948384115
1888-01-01,0,0.358704983258784,99.4935611452693
1889-01-01,-3.25379609544469,-5.902080769009,93.6213708065122
