"year","cpi","wpi","proxy","gdefl","cdefl","gdp","gdppc","prod","cons","inv","gcons","exp","imp","urate","stx","house"
"1864","1.233308223","1.617090948","89.63914434","1.135052513","1.278347478","82738.84553","3.254169194","6","61'179","4'773","10'497","10'053","7'046","3","9.549544364","0"
"1865","1.254788192","1.569156256","96.61998829","1.096929749","1.254080955","86675.31919","3.371049227","6","63'538","4'981","10'303","10'962","7'466","3","9.839657105","0"
"1866","1.334443077","1.575051967","102.730187115","1.118374768","1.296153035","87797.266","3.376445345","7","65'739","4'773","10'303","11'783","8'171","3","9.492557933","0"
"1867","1.405147975","1.540703043","106.875199255","1.096718569","1.289839928","88387.51038","3.361243551","7","66'133","4'410","10'497","11'973","8'044","5","9.186903439","0"
"1868","1.363083036","1.528142615","105.576986435","1.067530964","1.260720591","91818.21133","3.452553565","7","68'098","4'254","10'886","12'855","8'633","5","9.698054458","0"
"1869","1.273583165","1.506866789","102.37885562","1.074309376","1.237775169","93877.65583","3.49045746","7","69'435","4'254","10'497","13'445","8'911","5","10.44233179","0"
"1870","1.278953157","1.485334628","98.159765005","1.064800198","1.20426267","101220.9425","3.721255158","8","72'974","4'669","11'080","14'320","9'376","4","11.28676708","0"
"1871","1.314753105","1.537498852","107.772628","1.080255118","1.221316576","107008.2426","3.888880302","8","75'726","5'188","11'080","16'609","10'964","3","13.54637785","0"
"1872","1.370243026","1.68937749","105.40575885","1.134814536","1.278264171","107483.9198","3.858721657","9","76'748","5'551","10'886","16'805","11'014","2","13.99069905","0"
"1873","1.38098301","1.704373102","108.66706975","1.180617142","1.318165804","108195.8126","3.837046462","9","78'478","5'447","10'108","16'216","11'510","2","14.26491675","0"
"1874","1.3183331","1.569284423","104.87013367","1.13211223","1.27473786","112689.2018","3.947763592","9","81'152","6'174","10'886","16'412","11'708","3","14.09373775","0"
"1875","1.298643129","1.474824882","98.469818","1.094403537","1.250880861","113836.2858","3.939342463","9","82'332","6'537","11'469","16'478","12'403","3","14.58560919","0"
"1876","1.301328125","1.438553444","103.048021325","1.075476628","1.246733269","114312.5155","3.907557989","9","83'197","6'848","11'858","16'412","12'700","4","15.04651444","0"
"1877","1.300433126","1.443936484","106.81724785","1.050637223","1.238100646","115397.8935","3.896489883","9","84'297","6'848","12'052","16'805","12'998","6","15.74015876","0"
"1878","1.261053183","1.34153055","98.27342497","1.033084085","1.210346075","115249.5383","3.843888582","9","85'241","6'433","12'636","17'066","13'097","7","15.18295714","0"
"1879","1.204668264","1.279753754","90.908586415","1.009359498","1.15720962","113309.1967","3.732918742","9","84'140","5'914","13'996","18'178","13'593","8","17.16888793","0"
"1880","1.228833229","1.345375579","94.2129145","1.012951218","1.192249236","121375.6387","3.949667579","10","88'544","5'707","13'802","20'009","14'635","6","18.92698206","0"
"1881","1.213618251","1.299235234","93.98580125","0.999784257","1.178776705","124713.142","4.010886013","10","87'915","6'018","14'191","21'447","14'288","5","21.38181163","0"
"1882","1.215408249","1.295262037","96.1272734","1.0123494","1.191000442","126791.7021","4.037517548","11","89'487","5'966","14'774","21'840","15'032","4","21.02473538","0"
"1883","1.215408249","1.2724482","92.31138573","0.98842841","1.185387834","130544.7699","4.115982589","11","92'476","6'174","15'357","22'624","15'875","4","20.48439968","0"
