"year","proxy","rgdp","rgdpprox","rgdpcpi","gdpd","rgdppc","gapip","gap","cpi","cpif","bank","iprod","ipfood","iptex","ipleat","ipchem","ipmach","ipwood","ipmet","share","m2","m3"
"1799","2.33733423603026","7941","241.06131933767","3710.68540268456","5.57","1544.6","-4.93012485747377","-1.45607586490681","11.92",NA,NA,"6.614553383","","",NA,"","",NA,"",NA,NA,NA
"1800","4.98240056013644","8393","249.226311808327","3944.77896466721","5.72","1584.6","0.850230558916788","0.422236437353521","12.17",NA,NA,"7.273164148","","",NA,"","",NA,"",NA,NA,NA
"1801","10.2815465026291","8802","241.975837878291","4168.99270072993","5.84","1611.8","3.47761616150832","1.53732250832208","12.33",NA,NA,"7.74531288","","",NA,"","",NA,"",NA,NA,NA
"1802","-19.1306283201925","9079","262.656484378658","4342.89027911453","4.97","1612.1","5.73508743712179","1.01772200346645","10.39",NA,NA,"8.210256504","","",NA,"","",NA,"","10",NA,NA
"1803","1.60975546949909","9232","278.71781389385","4439.10948905109","5.27","1589.3","-0.618160470505426","-0.909357241731921","10.96",NA,NA,"7.977395976","","",NA,"","",NA,"","9.04",NA,NA
"1804","7.57246995556895","9591","283.985298612894","4661.36013986014","5.56","1601","-2.80549833651803","-0.688004855261151","11.44",NA,NA,"8.077246741","","",NA,"","",NA,"","8.66",NA,NA
"1805","11.6207324456849","10100","267.440185215935","4934.41901408451","5.55","1634.3","1.17219852018027","0.8879629361922","11.36",NA,NA,"8.698442208","","",NA,"","",NA,"","8.28",NA,NA
"1806","-6.45142559309332","10577","314.489531049554","5208.10050675676","5.83","1658.2","4.22284436267498","1.9068404303528","11.84",NA,NA,"9.282591484","","",NA,"","",NA,"","8.66",NA,NA
"1807","-3.49023488787161","10587","311.065308960971","5255.68928571429","5.56","1607","5.31129830693307","-1.6032455200812","11.2",NA,NA,"9.717984287","","",NA,"","",NA,"","9.04",NA,NA
"1808","-13.2398934490532","10610","393.565005106428","5309.35907970419","6.09","1561","-16.9713661584689","-5.02682880537819","12.17",NA,NA,"8.062933732","","",NA,"","",NA,"","9.03",NA,NA
"1809","13.0230094169757","11422","369.941931238171","5758.9110738255","6.01","1629.6","-5.60112841053467","-1.34015042359435","11.92",NA,NA,"9.388826306","","",NA,"","",NA,"","9.13",NA,NA
"1810","1.41099727303768","12055","375.402109507802","5926.36744966443","5.86","1668.7","-0.798366141717228","0.357861447142425","11.92",NA,NA,"10.25789136","","",NA,"","",NA,"","8.94",NA,NA
"1811","-3.02278259355098","12603","420.584620938375","6029.24351924588","6.09","1694.8","4.72239775104809","1.15205799659212","12.73",NA,NA,"11.29881178","","",NA,"","",NA,"","8.25",NA,NA
"1812","3.13970337518237","13106","417.789667716723","6100.54305663305","6","1713","0.182588570010475","1.50764766503331","12.89",NA,NA,"11.25249427","","",NA,"","",NA,"","8.54",NA,NA
"1813","26.8445692775092","13851","406.109896100555","6267.42081447964","7","1760.7","3.08460967904197","3.60926116937883","15.47",NA,NA,"12.06278124","","",NA,"","",NA,"","8.64",NA,NA
"1814","13.6547042065907","14431","397.27754247757","6341.15117647059","7.47","1784.9","7.96941644779814","4.43743010965549","17",NA,NA,"13.17217931","","",NA,"","",NA,"","7.19",NA,NA
"1815","-7.48222769536535","14547","368.538084853891","6205.15895372233","6.36","1751","7.30392531467281","2.10349512614259","14.91",NA,NA,"13.58422226","","",NA,"","",NA,"","7.39",NA,NA
"1816","-13.1615757906807","14546","375.657327235019","6012.77386196769","5.63","1703.3","-3.88435690476316","-0.956644528361812","13.62",NA,NA,"12.59507993","","",NA,"","",NA,"","7.11",NA,NA
"1817","1.37117609078745","14884","348.205483007747","5969.7657098526","5.17","1693.3","-3.44351512966331","-1.71071308430787","12.89",NA,NA,"13.118831","","",NA,"","",NA,"","7.97",NA,NA
"1818","-3.54152011107873","15425","345.890040204262","5979.84590429846","4.78","1703.1","-1.82860523289536","-1.25905817319462","12.33",NA,NA,"13.83813273","","",NA,"","",NA,"","7.72",NA,NA
"1819","-15.4787715882389","15723","403.177768797201","5891.34306569343","4.62","1684.3","-1.62591571469257","-2.58413908662553","12.33",NA,NA,"14.412262","","",NA,"","",NA,"","7.14",NA,NA
"1820","-17.0383628431676","16352","474.791003627815","6247.15492957746","4.34","1700.2","-2.77402777482413","-2.06002467324311","11.36",NA,NA,"14.83415102","","",NA,"","",NA,"","7.51",NA,NA
"1821","-4.6756662642871","17223","516.148621139178","6710.05565693431","4.27","1739.8","-0.736424891908296","-0.442839789240256","10.96",NA,NA,"15.79200282","","",NA,"","",NA,"","7.96",NA,NA
"1822","4.17144231756685","17875","541.935975467225","7080.76584507042","4.5","1754.3","3.94115566169785","-0.466838130847645","11.36",NA,NA,"17.29144769","","",NA,"","",NA,"","7.57",NA,NA
"1823","-2.25369924010049","18522","523.432667853356","7481.79310344828","4.1","1766","-1.83007531630943","-0.807363801162385","10.15",NA,NA,"17.08106771","","",NA,"","",NA,"","7.56",NA,NA
"1824","-7.31678272908941","19620","560.296892486645","8057.83957219251","3.84","1817.5","1.74707392895429","0.914761601245524","9.35",NA,NA,"18.5588578","","",NA,"","",NA,"","7.93",NA,NA
"1825","1.39588392962993","20498","602.869790617462","8571.11366006257","4.01","1844.1","3.76039005221737","1.13860390404755","9.59",NA,"0","19.88631746","","",NA,"","",NA,"","7.48",NA,NA
"1826","-1.94691581679137","21227","647.82124319828","9030.88216892597","4.08","1854.1","1.87995428834786","0.376844222490667","9.59",NA,"0","20.53463631","","",NA,"","",NA,"","7.47",NA,NA
"1827","0.892141795438284","21886","679.875636580852","9483.17890382627","4.19","1855.2","-0.872673266181078","-0.921556506971818","9.67",NA,"0","21.07251175","28.69959867","18.4985597","15.8893553","22.22101652","28.52870472","16.7097164","22.65924759","7.25",NA,NA
"1828","0.0103758279409671","22182","664.333369105591","9751.39064200218","4.04","1824.5","-5.03675843374796","-4.03376506300062","9.19",NA,"0","21.39077547","29.59436265","15.83339006","16.78586379","21.64993578","29.78570276","20.23740347","21.23953301","7.25",NA,NA
"1829","-0.916219936655205","23025","695.957050108873","10312.7494456763","4.04","1838.3","-17.2284207879484","-4.85068678430384","9.02",NA,"0","20.11743663","26.22471565","15.33765362","17.00100289","22.85416195","25.14025124","17.94984881","22.98807967","7.18",NA,NA
"1830","-5.46783852154215","25142","807.881572500744","11417.9552572707","4.06","1948.8","-6.8762769082339","-0.643926828983823","8.94",NA,"0","23.80094091","32.78784507","16.13107352","23.16611516","30.65193721","22.4513088","16.12569167","40.31463367","7.71",NA,NA
"1831","1.98381349025376","27217","817.413521163616","12569.1873508353","3.87","2050","2.96169351173585","2.75229843415108","8.38",NA,"0","28.08489982","33.69609494","23.01315137","34.35095512","33.07381344","26.7530488","18.58930982","39.97002435","7.94",NA,NA
"1832","0.471109080291576","29057","873.071431018982","13618.2807228916","3.89","2124.7","7.80281017812838","4.91917724617683","8.3",NA,"0","31.532882","31.96676854","23.19641572","47.33844985","33.8541922","37.25936467","22.08713685","37.14040955","8.33",NA,NA
